heart_rate,oxygen_level,steps,sleep_hours,activity_level,stress_level
58,98.81,5450,7.2,Highly Active,1
40,96.89,13797,7.4,Active,3
96,94.2,10206,8.4,Highly Active,10
47,95.39,3209,7.9,Sedentary,2
81,95.98,6051,5.2,Sedentary,1
93,97.22,1775,5.5,Sedentary,1
51,97.27,7940,8.0,Sedentary,8
73,95.4,1748,4.8,Active,1
95,99.15,6156,5.8,Highly Active,10
68,99.73,8124,6.4,Highly Active,5
40,99.05,1449,6.4,Active,2
58,97.79,5644,7.8,Sedentary,10
98,96.03,5847,6.6,Sedentary,9
53,96.3,1976,5.4,Highly Active,5
74,99.65,2601,6.8,Highly Active,9
69,99.25,3306,8.4,Highly Active,1
84,99.02,4173,9.2,Sedentary,9
64,99.79,1520,6.9,Sedentary,2
75,98.1,3401,8.7,Sedentary,10
86,97.47,3790,6.8,Sedentary,1
64,98.15,1778,4.4,Sedentary,7
69,100.0,7137,7.0,Sedentary,2
66,99.52,219,6.0,Sedentary,6
81,98.19,1541,7.2,Highly Active,10
67,100.0,6913,5.7,Active,10
80,100.0,2158,7.1,Highly Active,4
40,100.0,8043,7.8,Active,5
87,100.0,4441,8.5,Sedentary,5
88,100.0,5244,8.0,Sedentary,6
67,92.66,2831,4.8,Sedentary,7
64,98.42,29066,4.8,Highly Active,3
74,95.06,9360,7.6,Active,4
61,100.0,1999,5.9,Highly Active,2
63,97.37,1889,5.0,Active,2
79,100.0,672,8.9,Highly Active,2
118,95.63,254,5.8,Active,8
93,99.41,3741,5.4,Sedentary,3
86,95.91,3750,6.4,Sedentary,3
85,93.73,8590,7.6,Highly Active,7
76,98.38,5986,6.9,Sedentary,8
82,95.55,10291,9.3,Active,1
77,95.01,2677,6.8,Sedentary,6
90,94.86,6852,6.2,Sedentary,4
70,97.22,15183,8.8,Highly Active,4
70,99.87,503,7.4,Highly Active,10
92,95.08,8628,5.9,Highly Active,2
60,96.92,11060,6.8,Sedentary,1
63,95.87,2194,6.2,Highly Active,6
86,100.0,3771,6.8,Active,5
61,99.63,2583,6.0,Sedentary,8
84,98.46,24206,7.1,Sedentary,1
77,95.86,4130,5.7,Active,2
91,100.0,13213,5.2,Active,1
84,98.06,11089,6.4,Active,8
92,98.27,4116,5.8,Active,1
79,98.79,33957,4.5,Active,7
62,99.98,12862,4.6,Sedentary,6
78,97.92,2594,6.6,Highly Active,10
82,97.09,548,7.0,Highly Active,5
69,100.0,4376,6.1,Active,2
89,98.59,8698,5.2,Active,2
43,95.37,139,6.0,Sedentary,3
73,96.82,12464,7.2,Sedentary,5
59,92.95,3773,3.9,Highly Active,2
103,100.0,4441,3.0,Active,7
81,100.0,19406,7.4,Active,2
76,96.88,3557,5.2,Highly Active,1
87,97.61,12948,6.1,Sedentary,5
79,97.25,1898,5.9,Active,4
106,94.81,712,6.9,Sedentary,10
88,94.74,7070,5.7,Highly Active,7
47,100.0,29131,4.8,Highly Active,2
96,96.48,7288,7.2,Highly Active,1
78,99.5,6568,9.2,Sedentary,9
96,100.0,4087,7.3,Highly Active,2
59,98.92,3945,6.2,Active,9
56,98.58,1129,5.3,Highly Active,8
86,98.98,4678,7.1,Highly Active,8
66,95.6,1095,8.3,Highly Active,2
40,95.11,10976,8.3,Active,4
91,97.93,81,6.8,Active,6
44,100.0,2716,6.8,Active,6
107,99.84,5089,6.6,Sedentary,10
53,95.17,18510,7.4,Highly Active,2
75,99.15,5964,6.6,Sedentary,2
78,98.51,2446,6.6,Active,6
